TrialLabel,Syl1,Syl2,Syl3,Syl4,VoicingA,VoicingB,Pair Status,Pair Number,Order,Ordering,POA,Script1,Script2
psm01ABBAa,P.AH.NG.K,B.AH.NG.K,B.AH.NG.K,P.AH.NG.K,voiceless,voiced,minPair,1,ABBA,a,labial,166,70
psm01ABBAb,B.AH.NG.K,P.AH.NG.K,P.AH.NG.K,B.AH.NG.K,voiceless,voiced,minPair,1,ABBA,b,labial,142,46
psm02ABABa,P.AH.N.CH,B.AH.N.CH,P.AH.N.CH,B.AH.N.CH,voiceless,voiced,minPair,2,ABAB,a,labial,3,99
psm02ABABb,B.AH.N.CH,P.AH.N.CH,B.AH.N.CH,P.AH.N.CH,voiceless,voiced,minPair,2,ABAB,b,labial,91,187
psm02ABBAa,P.AH.N.CH,B.AH.N.CH,B.AH.N.CH,P.AH.N.CH,voiceless,voiced,minPair,2,ABBA,a,labial,167,71
psm02ABBAb,B.AH.N.CH,P.AH.N.CH,P.AH.N.CH,B.AH.N.CH,voiceless,voiced,minPair,2,ABBA,b,labial,141,45
psm03ABABa,P.IY.T,B.IY.T,P.IY.T,B.IY.T,voiceless,voiced,minPair,3,ABAB,a,labial,92,188
psm03ABABb,B.IY.T,P.IY.T,B.IY.T,P.IY.T,voiceless,voiced,minPair,3,ABAB,b,labial,2,98
psm03ABBAa,P.IY.T,B.IY.T,B.IY.T,P.IY.T,voiceless,voiced,minPair,3,ABBA,a,labial,160,64
psm03ABBAb,B.IY.T,P.IY.T,P.IY.T,B.IY.T,voiceless,voiced,minPair,3,ABBA,b,labial,126,30
psm04ABABa,P.AA.K.S,B.AA.K.S,P.AA.K.S,B.AA.K.S,voiceless,voiced,minPair,4,ABAB,a,labial,94,190
psm04ABABb,B.AA.K.S,P.AA.K.S,B.AA.K.S,P.AA.K.S,voiceless,voiced,minPair,4,ABAB,b,labial,4,100
psm04ABBAa,P.AA.K.S,B.AA.K.S,B.AA.K.S,P.AA.K.S,voiceless,voiced,minPair,4,ABBA,a,labial,130,34
psm04ABBAb,B.AA.K.S,P.AA.K.S,P.AA.K.S,B.AA.K.S,voiceless,voiced,minPair,4,ABBA,b,labial,174,78
psm05ABABa,T.AE.B,D.AE.B,T.AE.B,D.AE.B,voiceless,voiced,minPair,5,ABAB,a,alveolar,57,153
psm05ABABb,D.AE.B,T.AE.B,D.AE.B,T.AE.B,voiceless,voiced,minPair,5,ABAB,b,alveolar,8,104
psm05ABBAa,T.AE.B,D.AE.B,D.AE.B,T.AE.B,voiceless,voiced,minPair,5,ABBA,a,alveolar,115,19
psm05ABBAb,D.AE.B,T.AE.B,T.AE.B,D.AE.B,voiceless,voiced,minPair,5,ABBA,b,alveolar,170,74
psm06ABABa,T.EH.N.S,D.EH.N.S,T.EH.N.S,D.EH.N.S,voiceless,voiced,minPair,6,ABAB,a,alveolar,9,105
psm06ABABb,D.EH.N.S,T.EH.N.S,D.EH.N.S,T.EH.N.S,voiceless,voiced,minPair,6,ABAB,b,alveolar,81,177
psm06ABBAa,T.EH.N.S,D.EH.N.S,D.EH.N.S,T.EH.N.S,voiceless,voiced,minPair,6,ABBA,a,alveolar,140,44
psm06ABBAb,D.EH.N.S,T.EH.N.S,T.EH.N.S,D.EH.N.S,voiceless,voiced,minPair,6,ABBA,b,alveolar,180,84
psm07ABABa,T.AO.R.K,D.AO.R.K,T.AO.R.K,D.AO.R.K,voiceless,voiced,minPair,7,ABAB,a,alveolar,13,109
psm07ABABb,D.AO.R.K,T.AO.R.K,D.AO.R.K,T.AO.R.K,voiceless,voiced,minPair,7,ABAB,b,alveolar,72,168
psm07ABBAa,T.AO.R.K,D.AO.R.K,D.AO.R.K,T.AO.R.K,voiceless,voiced,minPair,7,ABBA,a,alveolar,100,4
psm07ABBAb,D.AO.R.K,T.AO.R.K,T.AO.R.K,D.AO.R.K,voiceless,voiced,minPair,7,ABBA,b,alveolar,189,93
psm08ABABa,T.OW.T,D.OW.T,T.OW.T,D.OW.T,voiceless,voiced,minPair,8,ABAB,a,alveolar,78,174
psm08ABABb,D.OW.T,T.OW.T,D.OW.T,T.OW.T,voiceless,voiced,minPair,8,ABAB,b,alveolar,5,101
psm08ABBAa,T.OW.T,D.OW.T,D.OW.T,T.OW.T,voiceless,voiced,minPair,8,ABBA,a,alveolar,114,18
psm08ABBAb,D.OW.T,T.OW.T,T.OW.T,D.OW.T,voiceless,voiced,minPair,8,ABBA,b,alveolar,181,85
psm09ABABa,K.AA.D,G.AA.D,K.AA.D,G.AA.D,voiceless,voiced,minPair,9,ABAB,a,velar,22,118
psm09ABABb,G.AA.D,K.AA.D,G.AA.D,K.AA.D,voiceless,voiced,minPair,9,ABAB,b,velar,70,166
psm09ABBAa,K.AA.D,G.AA.D,G.AA.D,K.AA.D,voiceless,voiced,minPair,9,ABBA,a,velar,147,51
psm09ABBAb,G.AA.D,K.AA.D,K.AA.D,G.AA.D,voiceless,voiced,minPair,9,ABBA,b,velar,138,42
psm10ABABa,K.AH.F,G.AH.F,K.AH.F,G.AH.F,voiceless,voiced,minPair,10,ABAB,a,velar,17,113
psm10ABABb,G.AH.F,K.AH.F,G.AH.F,K.AH.F,voiceless,voiced,minPair,10,ABAB,b,velar,67,163
psm10ABBAa,K.AH.F,G.AH.F,G.AH.F,K.AH.F,voiceless,voiced,minPair,10,ABBA,a,velar,131,35
psm10ABBAb,G.AH.F,K.AH.F,K.AH.F,G.AH.F,voiceless,voiced,minPair,10,ABBA,b,velar,153,57
psm11ABABa,K.EY.P,G.EY.P,K.EY.P,G.EY.P,voiceless,voiced,minPair,11,ABAB,a,velar,46,142
psm11ABABb,G.EY.P,K.EY.P,G.EY.P,K.EY.P,voiceless,voiced,minPair,11,ABAB,b,velar,73,169
psm11ABBAa,K.EY.P,G.EY.P,G.EY.P,K.EY.P,voiceless,voiced,minPair,11,ABBA,a,velar,103,7
psm11ABBAb,G.EY.P,K.EY.P,K.EY.P,G.EY.P,voiceless,voiced,minPair,11,ABBA,b,velar,161,65
psm12ABABa,K.OW.D,G.OW.D,K.OW.D,G.OW.D,voiceless,voiced,minPair,12,ABAB,a,velar,36,132
psm12ABABb,G.OW.D,K.OW.D,G.OW.D,K.OW.D,voiceless,voiced,minPair,12,ABAB,b,velar,80,176
psm12ABBAa,K.OW.D,G.OW.D,G.OW.D,K.OW.D,voiceless,voiced,minPair,12,ABBA,a,velar,172,76
psm12ABBAb,G.OW.D,K.OW.D,K.OW.D,G.OW.D,voiceless,voiced,minPair,12,ABBA,b,velar,113,17
psn01ABABa,P.AH.L.P,B.AH.L.P,P.AH.L.P,B.AH.L.P,voiceless,voiced,noMinPair,1,ABAB,a,labial,24,120
psn01ABABb,B.AH.L.P,P.AH.L.P,B.AH.L.P,P.AH.L.P,voiceless,voiced,noMinPair,1,ABAB,b,labial,52,148
psn01ABBAa,P.AH.L.P,B.AH.L.P,B.AH.L.P,P.AH.L.P,voiceless,voiced,noMinPair,1,ABBA,a,labial,128,32
psn01ABBAb,B.AH.L.P,P.AH.L.P,P.AH.L.P,B.AH.L.P,voiceless,voiced,noMinPair,1,ABBA,b,labial,185,89
psn02ABABa,P.AH.L.S,B.AH.L.S,P.AH.L.S,B.AH.L.S,voiceless,voiced,noMinPair,2,ABAB,a,labial,16,112
psn02ABABb,B.AH.L.S,P.AH.L.S,B.AH.L.S,P.AH.L.S,voiceless,voiced,noMinPair,2,ABAB,b,labial,50,146
psn02ABBAa,P.AH.L.S,B.AH.L.S,B.AH.L.S,P.AH.L.S,voiceless,voiced,noMinPair,2,ABBA,a,labial,104,8
psn02ABBAb,B.AH.L.S,P.AH.L.S,P.AH.L.S,B.AH.L.S,voiceless,voiced,noMinPair,2,ABBA,b,labial,154,58
psn03ABABa,P.IY.L,B.IY.L,P.IY.L,B.IY.L,voiceless,voiced,noMinPair,3,ABAB,a,labial,18,114
psn03ABABb,B.IY.L,P.IY.L,B.IY.L,P.IY.L,voiceless,voiced,noMinPair,3,ABAB,b,labial,58,154
psn03ABBAa,P.IY.L,B.IY.L,B.IY.L,P.IY.L,voiceless,voiced,noMinPair,3,ABBA,a,labial,159,63
psn03ABBAb,B.IY.L,P.IY.L,P.IY.L,B.IY.L,voiceless,voiced,noMinPair,3,ABBA,b,labial,137,41
psn04ABABa,P.AA.SH,B.AA.SH,P.AA.SH,B.AA.SH,voiceless,voiced,noMinPair,4,ABAB,a,labial,76,172
psn04ABABb,B.AA.SH,P.AA.SH,B.AA.SH,P.AA.SH,voiceless,voiced,noMinPair,4,ABAB,b,labial,28,124
psn04ABBAa,P.AA.SH,B.AA.SH,B.AA.SH,P.AA.SH,voiceless,voiced,noMinPair,4,ABBA,a,labial,187,91
psn04ABBAb,B.AA.SH,P.AA.SH,P.AA.SH,B.AA.SH,voiceless,voiced,noMinPair,4,ABBA,b,labial,125,29
psn05ABABa,T.AE.T,D.AE.T,T.AE.T,D.AE.T,voiceless,voiced,noMinPair,5,ABAB,a,alveolar,68,164
psn05ABABb,D.AE.T,T.AE.T,D.AE.T,T.AE.T,voiceless,voiced,noMinPair,5,ABAB,b,alveolar,1,97
psn05ABBAa,T.AE.T,D.AE.T,D.AE.T,T.AE.T,voiceless,voiced,noMinPair,5,ABBA,a,alveolar,135,39
psn05ABBAb,D.AE.T,T.AE.T,T.AE.T,D.AE.T,voiceless,voiced,noMinPair,5,ABBA,b,alveolar,162,66
psn06ABABa,T.EH.N.TH,D.EH.N.TH,T.EH.N.TH,D.EH.N.TH,voiceless,voiced,noMinPair,6,ABAB,a,alveolar,23,119
psn06ABABb,D.EH.N.TH,T.EH.N.TH,D.EH.N.TH,T.EH.N.TH,voiceless,voiced,noMinPair,6,ABAB,b,alveolar,82,178
psn06ABBAa,T.EH.N.TH,D.EH.N.TH,D.EH.N.TH,T.EH.N.TH,voiceless,voiced,noMinPair,6,ABBA,a,alveolar,171,75
psn06ABBAb,D.EH.N.TH,T.EH.N.TH,T.EH.N.TH,D.EH.N.TH,voiceless,voiced,noMinPair,6,ABBA,b,alveolar,97,1
psn07ABABa,T.AO.R.N,D.AO.R.N,T.AO.R.N,D.AO.R.N,voiceless,voiced,noMinPair,7,ABAB,a,alveolar,47,143
psn07ABABb,D.AO.R.N,T.AO.R.N,D.AO.R.N,T.AO.R.N,voiceless,voiced,noMinPair,7,ABAB,b,alveolar,56,152
psn07ABBAa,T.AO.R.N,D.AO.R.N,D.AO.R.N,T.AO.R.N,voiceless,voiced,noMinPair,7,ABBA,a,alveolar,143,47
psn07ABBAb,D.AO.R.N,T.AO.R.N,T.AO.R.N,D.AO.R.N,voiceless,voiced,noMinPair,7,ABBA,b,alveolar,165,69
psn08ABABa,T.OW.D,D.OW.D,T.OW.D,D.OW.D,voiceless,voiced,noMinPair,8,ABAB,a,alveolar,71,167
psn08ABABb,D.OW.D,T.OW.D,D.OW.D,T.OW.D,voiceless,voiced,noMinPair,8,ABAB,b,alveolar,40,136
psn08ABBAa,T.OW.D,D.OW.D,D.OW.D,T.OW.D,voiceless,voiced,noMinPair,8,ABBA,a,alveolar,117,21
psn08ABBAb,D.OW.D,T.OW.D,T.OW.D,D.OW.D,voiceless,voiced,noMinPair,8,ABBA,b,alveolar,146,50
psn09ABABa,K.AA.P,G.AA.P,K.AA.P,G.AA.P,voiceless,voiced,noMinPair,9,ABAB,a,velar,84,180
psn09ABABb,G.AA.P,K.AA.P,G.AA.P,K.AA.P,voiceless,voiced,noMinPair,9,ABAB,b,velar,37,133
psn09ABBAa,K.AA.P,G.AA.P,G.AA.P,K.AA.P,voiceless,voiced,noMinPair,9,ABBA,a,velar,105,9
psn09ABBAb,G.AA.P,K.AA.P,K.AA.P,G.AA.P,voiceless,voiced,noMinPair,9,ABBA,b,velar,176,80
psn10ABABa,K.AH.D,G.AH.D,K.AH.D,G.AH.D,voiceless,voiced,noMinPair,10,ABAB,a,velar,62,158
psn10ABABb,G.AH.D,K.AH.D,G.AH.D,K.AH.D,voiceless,voiced,noMinPair,10,ABAB,b,velar,31,127
psn10ABBAa,K.AH.D,G.AH.D,G.AH.D,K.AH.D,voiceless,voiced,noMinPair,10,ABBA,a,velar,136,40
psn10ABBAb,G.AH.D,K.AH.D,K.AH.D,G.AH.D,voiceless,voiced,noMinPair,10,ABBA,b,velar,175,79
psn11ABABa,K.EY.K,G.EY.K,K.EY.K,G.EY.K,voiceless,voiced,noMinPair,11,ABAB,a,velar,30,126
psn11ABABb,G.EY.K,K.EY.K,G.EY.K,K.EY.K,voiceless,voiced,noMinPair,11,ABAB,b,velar,49,145
psn11ABBAa,K.EY.K,G.EY.K,G.EY.K,K.EY.K,voiceless,voiced,noMinPair,11,ABBA,a,velar,101,5
psn11ABBAb,G.EY.K,K.EY.K,K.EY.K,G.EY.K,voiceless,voiced,noMinPair,11,ABBA,b,velar,190,94
psn12ABABa,K.OW.M,G.OW.M,K.OW.M,G.OW.M,voiceless,voiced,noMinPair,12,ABAB,a,velar,55,151
psn12ABABb,G.OW.M,K.OW.M,G.OW.M,K.OW.M,voiceless,voiced,noMinPair,12,ABAB,b,velar,29,125
psn12ABBAa,K.OW.M,G.OW.M,G.OW.M,K.OW.M,voiceless,voiced,noMinPair,12,ABBA,a,velar,182,86
psn12ABBAb,G.OW.M,K.OW.M,K.OW.M,G.OW.M,voiceless,voiced,noMinPair,12,ABBA,b,velar,99,3
